Subprefeitura;Distrito;Zona
Sé;Sé;Centro
Sé;República;Centro
Sé;Consolação;Centro
Sé;Santa Cecília;Centro
Sé;Bela Vista;Centro
Sé;Bom Retiro;Centro
Sé;Cambuci;Centro
Sé;Liberdade;Centro
Vila Mariana;Vila Mariana;Sul
Vila Mariana;Moema;Sul
Vila Mariana;Saúde;Sul
Santo Amaro;Santo Amaro;Sul
Santo Amaro;Campo Belo;Sul
Santo Amaro;Campo Grande;Sul
Santo Amaro;Cidade Ademar;Sul
Pinheiros;Pinheiros;Oeste
Pinheiros;Alto de Pinheiros;Oeste
Pinheiros;Itaim Bibi;Oeste
Pinheiros;Jardim Paulista;Oeste
Butantã;Butantã;Oeste
Butantã;Morumbi;Oeste
Butantã;Vila Sônia;Oeste
Butantã;Rio Pequeno;Oeste
Butantã;Raposo Tavares;Oeste
Lapa;Lapa;Oeste
Lapa;Perdizes;Oeste
Lapa;Vila Leopoldina;Oeste
Lapa;Jaguara;Oeste
Lapa;Jaguaré;Oeste
Casa Verde;Casa Verde;Norte
Casa Verde;Cachoeirinha;Norte
Casa Verde;Limão;Norte
Freguesia/Brasilândia;Freguesia do Ó;Norte
Freguesia/Brasilândia;Brasilândia;Norte
Santana/Tucuruvi;Santana;Norte
Santana/Tucuruvi;Tucuruvi;Norte
Santana/Tucuruvi;Mandaqui;Norte
Penha;Penha;Leste
Penha;Vila Matilde;Leste
Penha;Artur Alvim;Leste
Penha;Cangaíba;Leste
Mooca;Mooca;Leste
Mooca;Tatuapé;Leste
Mooca;Belém;Leste
Mooca;Água Rasa;Leste
Mooca;Pari;Leste
Itaquera;Itaquera;Leste
Itaquera;Cidade Líder;Leste
Itaquera;José Bonifácio;Leste
Itaquera;Parque do Carmo;Leste
São Mateus;São Mateus;Leste
São Mateus;São Rafael;Leste
São Mateus;Iguatemi;Leste
Cidade Tiradentes;Cidade Tiradentes;Leste
Guaianases;Guaianases;Leste
Guaianases;Lajeado;Leste
Aricanduva/Formosa/Carrão;Aricanduva;Leste
Aricanduva/Formosa/Carrão;Vila Formosa;Leste
Aricanduva/Formosa/Carrão;Carrão;Leste
Vila Prudente;Vila Prudente;Leste
Vila Prudente;Sapopemba;Leste
Jabaquara;Jabaquara;Sul
Pirituba/Jaraguá;Pirituba;Norte
Pirituba/Jaraguá;Jaraguá;Norte
Pirituba/Jaraguá;Anhanguera;Norte
Perus;Perus;Norte
Perus;Anhanguera;Norte
Campo Limpo;Campo Limpo;Sul
Campo Limpo;Capão Redondo;Sul
Campo Limpo;Vila Andrade;Sul
M'Boi Mirim;Jardim Ângela;Sul
M'Boi Mirim;Jardim São Luís;Sul
Parelheiros;Parelheiros;Sul
Parelheiros;Marsilac;Sul
Sapopemba;Sapopemba;Leste
Cidade Ademar;Cidade Ademar;Sul
Cidade Ademar;Pedreira;Sul
Vila Maria/Vila Guilherme;Vila Maria;Norte
Vila Maria/Vila Guilherme;Vila Guilherme;Norte
Vila Maria/Vila Guilherme;Vila Medeiros;Norte
Jaçanã/Tremembé;Jaçanã;Norte
Jaçanã/Tremembé;Tremembé;Norte
Ipiranga;Ipiranga;Sul
Ipiranga;Sacomã;Sul
Ipiranga;Cursino;Sul
Ermelino Matarazzo;Ermelino Matarazzo;Leste
Ermelino Matarazzo;Ponte Rasa;Leste
Vila Mariana;Vila Mariana;Sul
Vila Mariana;Moema;Sul
Vila Mariana;Saúde;Sul
